Nodo;X;Y;Demanda
1;0.0;0.0;0
2;3.0;1.0;300
3;3.0;3.0;300
4;1.0;3.0;300
5;-1.0;3.0;300
6;-3.0;3.0;300
7;-3.0;1.0;300
8;-3.0;-1.0;300
9;-3.0;-3.0;300
10;-1.0;-3.0;300
11;1.0;-3.0;300
12;3.0;-3.0;300
13;3.0;-1.0;300
14;5.0;1.0;180
15;5.0;3.0;180
16;5.0;5.0;180
17;3.0;5.0;180
18;1.0;5.0;180
19;-1.0;5.0;180
20;-3.0;5.0;180
21;-5.0;5.0;180
22;-5.0;3.0;180
23;-5.0;1.0;180
24;-5.0;-1.0;180
25;-5.0;-3.0;180
26;-5.0;-5.0;180
27;-3.0;-5.0;180
28;-1.0;-5.0;180
29;1.0;-5.0;180
30;3.0;-5.0;180
31;5.0;-5.0;180
32;5.0;-3.0;180
33;5.0;-1.0;180
34;7.0;1.0;128
35;7.0;3.0;128
36;7.0;5.0;128
37;7.0;7.0;128
38;5.0;7.0;128
39;3.0;7.0;128
40;1.0;7.0;128
41;-1.0;7.0;128
42;-3.0;7.0;128
43;-5.0;7.0;128
44;-7.0;7.0;128
45;-7.0;5.0;128
46;-7.0;3.0;128
47;-7.0;1.0;128
48;-7.0;-1.0;128
49;-7.0;-3.0;128
50;-7.0;-5.0;128
51;-7.0;-7.0;128
52;-5.0;-7.0;128
53;-3.0;-7.0;128
54;-1.0;-7.0;128
55;1.0;-7.0;128
56;3.0;-7.0;128
57;5.0;-7.0;128
58;7.0;-7.0;128
59;7.0;-5.0;128
60;7.0;-3.0;128
61;7.0;-1.0;128
62;9.0;1.0;100
63;9.0;3.0;100
64;9.0;5.0;100
65;9.0;7.0;100
66;9.0;9.0;100
67;7.0;9.0;100
68;5.0;9.0;100
69;3.0;9.0;100
70;1.0;9.0;100
71;-1.0;9.0;100
72;-3.0;9.0;100
73;-5.0;9.0;100
74;-7.0;9.0;100
75;-9.0;9.0;100
76;-9.0;7.0;100
77;-9.0;5.0;100
78;-9.0;3.0;100
79;-9.0;1.0;100
80;-9.0;-1.0;100
81;-9.0;-3.0;100
82;-9.0;-5.0;100
83;-9.0;-7.0;100
84;-9.0;-9.0;100
85;-7.0;-9.0;100
86;-5.0;-9.0;100
87;-3.0;-9.0;100
88;-1.0;-9.0;100
89;1.0;-9.0;100
90;3.0;-9.0;100
91;5.0;-9.0;100
92;7.0;-9.0;100
93;9.0;-9.0;100
94;9.0;-7.0;100
95;9.0;-5.0;100
96;9.0;-3.0;100
97;9.0;-1.0;100
98;11.0;1.0;81
99;11.0;3.0;81
100;11.0;5.0;81
101;11.0;7.0;81
102;11.0;9.0;81
103;11.0;11.0;81
104;9.0;11.0;81
105;7.0;11.0;81
106;5.0;11.0;81
107;3.0;11.0;81
108;1.0;11.0;81
109;-1.0;11.0;81
110;-3.0;11.0;81
111;-5.0;11.0;81
112;-7.0;11.0;81
113;-9.0;11.0;81
114;-11.0;11.0;81
115;-11.0;9.0;81
116;-11.0;7.0;81
117;-11.0;5.0;81
118;-11.0;3.0;81
119;-11.0;1.0;81
120;-11.0;-1.0;81
121;-11.0;-3.0;81
122;-11.0;-5.0;81
123;-11.0;-7.0;81
124;-11.0;-9.0;81
125;-11.0;-11.0;81
126;-9.0;-11.0;81
127;-7.0;-11.0;81
128;-5.0;-11.0;81
129;-3.0;-11.0;81
130;-1.0;-11.0;81
131;1.0;-11.0;81
132;3.0;-11.0;81
133;5.0;-11.0;81
134;7.0;-11.0;81
135;9.0;-11.0;81
136;11.0;-11.0;81
137;11.0;-9.0;81
138;11.0;-7.0;81
139;11.0;-5.0;81
140;11.0;-3.0;81
141;11.0;-1.0;81
142;13.0;1.0;69
143;13.0;3.0;69
144;13.0;5.0;69
145;13.0;7.0;69
146;13.0;9.0;69
147;13.0;11.0;69
148;13.0;13.0;69
149;11.0;13.0;69
150;9.0;13.0;69
151;7.0;13.0;69
152;5.0;13.0;69
153;3.0;13.0;69
154;1.0;13.0;69
155;-1.0;13.0;69
156;-3.0;13.0;69
157;-5.0;13.0;69
158;-7.0;13.0;69
159;-9.0;13.0;69
160;-11.0;13.0;69
161;-13.0;13.0;69
162;-13.0;11.0;69
163;-13.0;9.0;69
164;-13.0;7.0;69
165;-13.0;5.0;69
166;-13.0;3.0;69
167;-13.0;1.0;69
168;-13.0;-1.0;69
169;-13.0;-3.0;69
170;-13.0;-5.0;69
171;-13.0;-7.0;69
172;-13.0;-9.0;69
173;-13.0;-11.0;69
174;-13.0;-13.0;69
175;-11.0;-13.0;69
176;-9.0;-13.0;69
177;-7.0;-13.0;69
178;-5.0;-13.0;69
179;-3.0;-13.0;69
180;-1.0;-13.0;69
181;1.0;-13.0;69
182;3.0;-13.0;69
183;5.0;-13.0;69
184;7.0;-13.0;69
185;9.0;-13.0;69
186;11.0;-13.0;69
187;13.0;-13.0;69
188;13.0;-11.0;69
189;13.0;-9.0;69
190;13.0;-7.0;69
191;13.0;-5.0;69
192;13.0;-3.0;69
193;13.0;-1.0;69
194;15.0;1.0;60
195;15.0;3.0;60
196;15.0;5.0;60
197;15.0;7.0;60
198;15.0;9.0;60
199;15.0;11.0;60
200;15.0;13.0;60
201;15.0;15.0;60
202;13.0;15.0;60
203;11.0;15.0;60
204;9.0;15.0;60
205;7.0;15.0;60
206;5.0;15.0;60
207;3.0;15.0;60
208;1.0;15.0;60
209;-1.0;15.0;60
210;-3.0;15.0;60
211;-5.0;15.0;60
212;-7.0;15.0;60
213;-9.0;15.0;60
214;-11.0;15.0;60
215;-13.0;15.0;60
216;-15.0;15.0;60
217;-15.0;13.0;60
218;-15.0;11.0;60
219;-15.0;9.0;60
220;-15.0;7.0;60
221;-15.0;5.0;60
222;-15.0;3.0;60
223;-15.0;1.0;60
224;-15.0;-1.0;60
225;-15.0;-3.0;60
226;-15.0;-5.0;60
227;-15.0;-7.0;60
228;-15.0;-9.0;60
229;-15.0;-11.0;60
230;-15.0;-13.0;60
231;-15.0;-15.0;60
232;-13.0;-15.0;60
233;-11.0;-15.0;60
234;-9.0;-15.0;60
235;-7.0;-15.0;60
236;-5.0;-15.0;60
237;-3.0;-15.0;60
238;-1.0;-15.0;60
239;1.0;-15.0;60
240;3.0;-15.0;60
241;5.0;-15.0;60
242;7.0;-15.0;60
243;9.0;-15.0;60
244;11.0;-15.0;60
245;13.0;-15.0;60
246;15.0;-15.0;60
247;15.0;-13.0;60
248;15.0;-11.0;60
249;15.0;-9.0;60
250;15.0;-7.0;60
251;15.0;-5.0;60
252;15.0;-3.0;60
253;15.0;-1.0;60
